idade,sexo,dependentes,escolaridade,estado_civil,salario_anual,tipo_cartao,meses_de_relacionamento,qtd_produtos,iteracoes_12m,meses_inativo_12m,limite_credito,valor_transacoes_12m,qtd_transacoes_12m,predicao_credito
49,1,3,0,2,2,0,37,5,1,2,3906.4,1756.49,32,0
38,0,4,1,0,4,0,28,2,3,3,9830.13,1042.8,23,0
49,1,4,2,0,3,0,30,3,3,2,34516.07,1444.77,28,0
56,1,2,4,2,2,0,45,6,0,2,2283.59,1741.52,27,0
59,1,1,4,2,1,0,52,3,2,2,2548.58,1719.18,27,0
46,1,3,0,2,3,0,40,4,3,3,19458.61,1217.71,27,0
52,1,1,3,0,3,0,40,5,1,1,4745.36,1140.09,40,0
52,0,3,2,2,0,0,41,6,2,3,2622.45,1878.14,30,0
54,0,1,1,2,0,0,40,2,1,3,1438.08,705.59,19,1
66,0,0,0,2,0,0,54,3,2,4,3171.17,1946.81,38,0
49,1,2,2,2,4,0,36,4,0,2,19763.65,1414.42,35,0
56,1,2,1,2,4,0,36,1,3,3,15769.34,602.6,15,1
49,0,4,1,3,0,0,36,6,2,4,3298.68,1052.4,32,0
49,0,3,1,0,0,0,36,2,0,2,2802.32,1295.77,40,0
56,1,2,2,2,1,0,50,4,3,2,4458.72,1424.23,29,0
44,0,5,1,2,4,0,35,4,2,1,6273.36,1359.02,25,0
42,1,2,0,0,2,0,34,4,3,4,3336.16,1168.25,27,0
55,1,3,2,2,3,0,47,4,3,2,3436.88,1097.15,33,0
48,1,2,1,2,2,1,35,2,4,4,34516.6,691.1,15,1
39,1,1,0,1,2,0,33,5,3,3,5926.84,1316.35,28,0
44,1,4,4,0,4,0,32,2,2,4,23957.43,1276.73,26,0
53,1,2,0,0,4,0,44,4,2,2,14734.78,1289.07,23,0
51,1,4,2,0,3,1,38,4,4,1,34516.43,1293.87,32,0
57,1,2,3,2,2,0,52,5,3,3,6585.0,1353.02,35,0
44,0,2,2,0,0,0,20,6,3,3,2084.4,1132.88,28,0
49,1,2,1,2,2,0,32,2,2,2,1687.32,1670.43,17,0
50,1,2,4,2,3,0,38,6,2,2,25300.81,837.74,15,0
51,1,4,1,0,4,0,42,3,3,2,34516.09,1550.71,41,0
55,0,2,1,2,0,0,42,5,3,3,2216.16,1540.51,36,0
54,1,1,1,3,2,0,43,4,3,2,2910.05,1256.06,21,0
42,1,5,2,2,3,0,37,6,2,2,22913.54,1394.75,35,0
44,1,1,3,0,2,0,35,3,3,3,24312.55,1341.81,24,0
53,1,2,1,0,3,0,36,5,2,3,5272.7,1289.65,33,0
44,0,4,1,0,0,0,36,6,2,4,7000.35,1112.55,23,0
37,0,3,2,0,0,0,29,4,2,4,7038.51,2339.31,57,0
49,1,3,1,1,2,0,30,6,2,1,2536.0,1468.07,23,0
47,1,2,1,2,3,0,38,6,2,3,28904.11,1334.19,35,0
47,1,3,1,2,2,0,37,4,0,4,8567.99,1457.17,41,0
44,1,1,2,3,4,0,36,6,2,2,34516.95,1603.72,29,0
55,0,4,2,2,1,0,45,2,3,4,2158.57,615.02,12,1
59,0,1,1,2,4,0,52,2,3,3,10133.91,1068.99,20,0
53,1,1,1,1,3,0,35,5,2,4,34516.4,1590.14,27,0
52,1,2,1,2,2,0,47,5,0,3,3085.37,1531.13,35,0
53,1,2,0,0,4,0,35,4,1,2,19040.89,1212.09,31,0
43,0,3,2,0,0,0,35,5,3,2,4026.73,1237.0,32,0
44,1,3,0,0,2,0,31,4,1,3,12756.68,1413.28,14,0
57,1,2,2,2,4,0,45,5,3,3,5266.9,1516.81,29,0
51,0,2,0,0,0,0,36,3,2,2,9930.94,1276.14,21,0
49,1,4,0,0,3,0,38,4,0,3,31302.28,1564.29,35,0
45,1,1,1,0,1,0,36,4,3,4,6576.08,1465.89,34,0
53,1,0,1,0,3,0,42,5,1,4,2664.65,1286.1,29,0
45,0,3,2,2,4,0,28,5,2,1,2535.81,1312.66,20,0
64,1,1,1,2,0,0,52,6,3,4,1709.75,1673.96,32,0
45,1,3,1,2,1,0,35,5,2,4,3454.88,1313.57,30,0
53,1,3,4,2,1,0,35,5,2,3,3789.07,1609.8,42,0
56,1,3,3,2,4,0,50,3,0,2,9689.42,1158.65,19,0
47,1,2,2,2,3,0,37,2,3,3,5449.1,836.55,18,1
49,0,3,3,0,4,0,43,4,0,4,23032.31,1289.53,22,0
41,0,3,2,2,4,1,34,5,3,3,34516.81,1487.1,26,0
53,1,3,1,2,4,0,34,6,2,2,2940.23,1259.6,33,0
44,0,2,1,0,0,0,32,3,3,3,3031.74,1298.42,15,0
44,1,3,0,3,2,0,25,3,0,3,1862.88,1226.76,34,0
43,0,4,4,2,0,0,33,2,3,3,8358.36,1566.92,37,0
53,1,2,4,0,4,0,36,6,2,1,34516.7,1022.13,21,0
44,1,1,2,2,2,0,36,5,3,2,14450.88,1235.89,30,0
62,0,1,2,2,0,0,56,6,0,0,1438.56,1951.32,44,0
54,1,4,2,1,4,0,36,6,2,3,33791.17,1047.44,31,0
57,1,4,1,2,2,0,39,4,0,3,8466.12,1342.04,32,0
42,1,3,2,2,2,0,36,5,3,3,15088.39,1107.18,21,0
42,1,4,0,1,2,0,36,5,2,1,3263.41,1251.05,35,0
54,0,0,2,2,0,0,36,2,2,2,1494.38,1305.99,24,0
48,1,3,1,0,3,0,35,6,0,1,13551.14,1388.92,37,0
49,1,1,1,0,3,0,36,6,2,2,18886.97,1235.27,18,0
52,1,3,0,3,3,0,48,3,0,2,11976.88,2089.21,36,0
50,1,3,0,0,3,0,39,4,4,1,9964.79,1626.61,25,0
49,1,1,4,2,2,0,36,4,3,6,24159.65,1111.64,24,0
53,0,2,0,2,0,0,44,3,3,2,5362.37,1553.57,38,0
50,1,2,1,0,4,0,36,3,2,2,34516.18,1064.06,13,0
55,0,1,4,2,0,0,36,4,0,1,3174.61,1243.37,29,0
53,1,1,0,2,3,0,47,3,2,2,12262.61,1659.27,38,0
47,0,3,0,0,1,0,41,4,3,3,3788.86,1594.63,47,0
55,1,2,3,0,4,1,42,2,2,3,34516.86,1268.11,42,0
47,1,3,1,0,2,0,36,4,2,2,2926.27,1304.88,24,0
58,1,4,1,0,4,0,52,6,0,1,32090.2,1368.9,30,0
53,1,2,1,2,3,0,41,3,2,3,11669.07,720.82,23,1
52,1,2,0,0,1,0,45,3,2,1,13532.53,1521.78,29,0
50,0,1,2,3,0,1,36,4,2,2,11888.15,1137.25,30,0
42,0,1,1,2,0,0,36,5,2,1,2393.25,978.8,16,0
43,1,4,2,2,1,0,39,5,2,1,6111.13,1221.48,16,0
57,1,4,1,2,3,0,46,3,3,2,19270.57,1566.0,28,0
52,1,1,1,2,3,0,43,3,4,1,3710.96,1578.98,34,0
47,1,2,4,0,0,0,37,2,3,1,3235.89,1493.12,32,0
44,0,3,1,0,1,0,38,3,0,1,11749.97,1178.37,27,0
53,1,2,0,1,2,0,36,5,2,3,7753.7,991.23,26,0
45,1,4,3,1,2,0,40,5,0,1,10408.7,2560.79,42,0
63,0,1,3,2,4,0,36,6,3,2,3967.48,1657.84,29,0
39,0,2,4,0,0,0,27,4,2,2,6205.29,1204.63,19,0
48,0,5,0,2,0,0,38,1,3,3,8025.36,673.64,18,1
51,1,1,2,0,4,0,42,6,3,2,9036.63,1131.83,18,0
54,1,4,1,2,3,0,34,2,2,3,14926.65,1576.74,25,0
59,0,1,1,0,0,0,36,3,3,2,6335.1,1217.14,20,0
59,1,1,3,0,2,0,53,2,3,3,14979.44,530.36,10,1
48,0,4,2,2,0,0,38,3,3,2,2732.31,739.82,16,1
41,0,2,1,0,0,0,32,6,2,3,2250.44,1617.31,31,0
55,1,2,1,2,4,0,50,3,0,2,10916.64,1592.13,34,0
47,0,4,1,2,4,0,36,4,3,1,5349.05,1343.87,30,0
41,1,2,0,2,3,0,24,4,3,1,9366.58,1303.63,39,0
40,1,3,0,0,3,0,28,5,0,1,21617.54,1351.89,22,0
68,1,1,1,2,4,0,56,5,3,2,13860.22,1910.36,32,0
50,0,1,1,0,1,1,31,2,3,2,18386.59,1298.55,22,0
47,1,4,2,0,2,0,41,6,2,2,2405.01,1087.22,29,0
53,0,1,3,2,0,0,47,4,3,2,2154.12,1439.28,26,0
42,0,5,2,2,1,0,36,3,3,3,2038.4,1238.68,28,0
48,0,4,0,0,1,0,38,6,3,1,8135.26,1716.18,29,0
49,1,1,4,2,4,0,38,6,3,1,9364.93,1099.88,27,0
44,0,2,2,2,4,1,35,4,2,3,32643.83,1058.8,24,0
43,0,4,1,1,0,0,34,2,1,3,3195.43,1285.54,29,0
56,1,0,0,2,3,0,43,5,1,2,2852.61,1651.52,28,0
59,0,1,3,0,4,0,36,2,3,3,4224.05,1152.5,31,0
46,1,1,2,2,2,0,36,3,2,2,20459.84,1767.95,38,0
47,0,4,2,1,0,0,41,6,3,5,3482.22,1039.44,24,0
50,0,4,2,2,1,0,40,5,3,2,3065.19,1130.34,28,0
51,0,3,2,2,0,0,43,3,2,1,2185.8,1645.23,30,0
47,0,3,2,2,0,0,36,4,0,1,1611.04,1413.06,29,0
58,0,4,2,2,0,0,47,3,3,3,2822.92,1218.42,23,0
46,1,5,1,0,3,0,33,6,3,3,32975.61,597.86,17,1
53,1,3,0,2,2,0,47,5,2,2,1438.57,2184.83,53,0
45,0,4,2,1,4,0,36,4,3,3,15875.61,1592.55,37,0
52,0,1,0,2,0,0,45,6,3,3,6703.28,1388.72,28,0
53,1,2,2,2,3,0,36,2,1,2,3212.38,757.7,20,1
50,1,2,0,2,3,1,45,3,3,1,34516.22,1504.44,34,0
41,0,3,0,2,1,0,36,4,2,1,9797.65,1503.16,34,0
45,0,5,1,1,1,0,36,5,2,2,10400.82,1105.44,28,0
53,1,3,2,2,3,0,42,2,2,1,26792.84,2398.41,47,0
67,0,1,1,2,0,0,56,4,2,3,3006.0,1661.15,32,0
57,0,2,2,0,1,1,36,6,0,3,19482.96,1421.19,22,0
59,0,1,2,2,1,0,36,4,3,2,3356.53,999.47,28,0
45,1,2,2,2,1,0,34,3,1,2,5771.6,1387.68,18,0
51,1,3,1,2,3,0,36,6,3,2,11106.73,1243.58,24,0
59,0,1,2,2,0,0,54,5,0,3,2890.26,1860.16,36,0
53,1,1,1,2,2,0,45,6,2,2,3380.75,1502.84,25,0
47,1,3,1,2,2,0,36,2,2,1,21331.23,1460.6,50,0
49,0,3,2,0,4,0,38,6,1,2,12860.34,1348.22,27,0
49,1,3,4,0,3,0,33,3,0,1,6278.72,1087.07,33,0
60,0,0,3,0,0,0,55,5,3,1,1439.0,1226.43,33,0
50,0,2,0,2,0,0,36,5,2,1,9355.72,1230.97,28,0
41,0,2,4,2,4,0,31,6,3,1,20758.33,1555.04,32,0
57,1,1,1,2,3,0,47,5,1,3,14612.54,1827.87,24,0
43,1,4,1,3,3,0,27,5,0,2,27259.32,1376.59,35,0
57,0,3,1,2,0,0,47,4,3,2,6347.04,1771.54,37,0
54,1,3,4,2,4,0,41,3,0,3,21592.49,1873.76,52,0
51,0,5,4,2,0,0,44,5,1,1,3449.71,1679.81,42,0
47,0,3,0,2,0,0,34,2,2,1,6028.25,1002.7,22,0
41,1,0,0,3,4,0,36,3,3,2,18214.37,1344.32,21,0
53,1,3,2,2,3,0,43,3,1,3,16393.47,1461.96,42,0
68,1,0,0,2,0,0,52,1,2,3,1438.72,760.47,21,1
59,1,1,3,2,2,0,36,4,2,1,7871.3,1428.62,22,0
48,1,4,2,2,3,0,36,5,0,3,5288.56,1777.39,42,0
44,1,5,1,2,2,0,32,4,3,5,11376.03,1302.61,27,0
48,1,3,3,2,3,0,41,4,3,5,12302.46,1483.6,41,0
47,1,4,1,2,2,1,33,3,1,2,34516.23,1060.78,27,0
47,1,2,1,2,2,1,32,4,2,2,34516.11,1330.44,32,0
43,0,1,0,1,0,1,35,3,2,2,10514.17,1229.2,27,0
55,0,2,1,2,0,0,43,2,3,4,1438.49,886.93,27,1
59,1,2,4,2,2,0,46,3,3,3,1438.61,844.25,24,1
63,1,1,1,2,1,0,56,2,2,1,2619.5,1450.42,37,0
58,1,2,3,2,4,0,53,2,0,3,24407.22,2311.68,48,0
53,0,2,0,2,0,0,36,4,2,1,2377.87,1378.54,26,0
59,1,0,2,3,3,1,40,3,3,2,34516.32,1033.29,26,0
52,1,3,1,2,4,0,47,5,3,3,11086.88,1523.79,40,0
48,1,3,0,0,2,0,36,4,2,2,11432.33,1374.92,37,0
43,1,4,0,2,1,0,36,5,2,3,13258.87,1080.19,21,0
48,1,2,3,0,0,0,36,3,3,2,2571.08,1234.81,24,0
43,0,4,1,0,0,0,31,5,0,2,5781.12,1600.6,32,0
44,1,4,2,2,2,0,30,5,2,1,7872.62,1155.16,32,0
41,1,3,0,2,3,0,35,6,2,1,34516.35,1353.8,33,0
44,0,3,2,1,0,1,38,4,3,1,11127.32,1546.08,25,0
50,1,2,2,0,1,0,43,2,3,1,1857.99,1590.24,43,0
60,0,1,2,2,0,0,36,5,0,1,1913.52,1448.98,22,0
44,1,4,1,0,3,0,24,5,0,3,3839.33,1271.61,24,0
48,0,3,1,1,1,0,39,6,3,2,2115.68,1223.72,20,0
44,0,2,1,1,0,0,27,5,2,2,1438.34,1117.13,29,0
41,1,2,0,0,3,0,28,4,0,3,27756.93,994.1,24,0
45,1,3,3,0,2,0,32,4,2,1,1438.92,1468.3,26,0
47,0,2,2,1,0,1,34,6,2,4,13878.33,1658.13,38,0
51,0,2,1,2,0,0,36,3,3,1,3106.63,1368.17,38,0
51,1,2,1,2,4,0,44,4,3,3,34516.68,1218.41,18,0
60,0,1,2,2,1,0,50,4,3,4,1438.57,702.15,12,1
57,1,2,2,2,3,0,46,2,0,3,18871.23,1516.99,21,0
41,1,5,1,0,4,0,29,5,2,2,5207.73,1310.79,26,0
44,1,3,4,1,3,0,36,6,2,2,17965.69,1767.49,50,0
43,1,1,3,0,2,0,37,6,3,3,2733.26,933.05,25,0
55,1,2,3,2,2,0,48,4,2,3,8863.91,1512.98,27,0
52,1,1,2,2,3,0,36,2,3,3,1857.31,829.9,17,1
44,1,3,1,3,3,0,33,3,3,3,34516.4,1120.71,27,0
41,1,2,2,2,1,0,30,5,3,3,11107.94,1506.36,33,0
44,1,4,2,0,3,0,34,4,2,1,21573.76,1384.44,36,0
53,0,2,2,2,0,0,33,2,3,3,2859.73,817.64,30,1
39,1,2,0,0,3,0,36,4,2,2,5269.71,2094.18,25,0
49,1,5,3,2,1,0,45,2,3,2,1438.71,815.11,21,1
45,0,2,3,2,0,0,36,1,2,3,3387.36,510.16,24,1
54,1,2,1,2,3,0,46,6,3,2,1982.76,1377.75,49,0
49,1,3,2,0,3,0,43,2,2,2,4645.64,1193.5,33,0
46,0,3,4,0,4,0,36,6,2,3,2189.18,1287.55,36,0
46,1,4,0,2,4,0,30,3,3,3,2442.35,701.37,19,1
47,1,3,1,2,2,0,38,4,2,1,21304.91,1770.89,25,0
44,1,2,4,0,2,0,36,5,2,1,7577.25,1409.86,35,0
50,1,3,4,0,4,0,31,4,2,1,3234.67,1354.89,28,0
73,1,0,0,2,1,0,36,5,2,3,4469.13,1765.87,34,0
56,1,3,2,3,1,0,46,6,4,3,2910.9,1192.62,27,0
59,1,0,0,0,1,0,48,2,3,4,3616.78,687.81,17,1
70,1,0,0,2,0,0,56,3,3,2,3252.0,1227.27,15,0
55,0,2,0,2,0,0,36,4,3,3,2358.65,1737.67,26,0
43,1,4,2,0,2,0,36,4,0,1,22322.23,1348.37,34,0
45,1,1,2,0,4,0,39,4,2,2,3133.64,1435.15,38,0
45,0,2,2,0,1,0,35,2,0,3,3540.83,1321.66,28,0
40,1,1,1,2,1,0,23,6,2,3,6990.3,1479.15,29,0
36,1,2,3,3,3,0,22,2,3,2,34516.27,1283.15,39,0
59,0,0,4,2,1,0,40,1,1,4,1438.04,689.19,23,1
43,1,4,2,2,2,0,35,6,2,3,24396.59,965.54,17,0
46,0,1,2,2,0,0,36,2,2,3,2474.33,1541.84,40,0
41,1,2,2,2,1,0,32,5,3,1,5214.54,1258.13,23,0
51,0,2,1,2,0,0,46,5,2,2,5207.14,1339.25,20,0
51,0,3,2,3,0,0,25,2,2,2,9512.92,1007.35,22,0
43,0,4,1,1,4,0,23,6,2,3,3187.02,1387.1,33,0
64,0,0,0,2,1,0,53,1,3,3,3353.71,960.89,18,1
54,1,5,1,2,2,0,38,3,3,3,2290.0,1119.88,18,0
48,1,3,2,0,1,0,43,6,3,1,5279.39,1642.1,41,0
40,1,2,2,1,2,0,29,5,0,3,23603.57,1382.43,31,0
57,1,0,2,2,1,0,45,6,2,2,2601.63,1232.15,32,0
45,1,4,1,0,3,0,40,4,0,3,6363.6,1542.87,16,0
41,1,3,0,0,3,0,36,4,3,3,8029.36,1094.01,32,0
42,0,4,2,2,0,0,31,2,2,2,2410.63,1217.56,30,0
45,1,2,1,0,2,0,36,1,2,1,3401.34,744.28,18,1
42,0,4,2,2,0,0,23,4,0,2,2260.02,1614.08,33,0
47,1,4,2,1,3,0,30,5,2,2,17682.03,1747.49,31,0
48,0,4,0,2,1,0,42,3,3,1,4206.65,1144.35,22,0
43,1,1,1,0,3,1,37,4,2,3,34516.15,1575.13,34,0
41,1,4,0,3,3,0,36,4,0,3,23018.42,1463.12,24,0
54,0,1,2,2,1,0,44,5,3,2,5556.64,1706.57,21,0
54,0,2,0,2,4,0,44,3,1,3,6094.27,909.43,14,1
61,1,0,1,2,1,0,52,3,2,1,2939.87,2434.79,33,0
61,1,0,2,2,3,0,48,2,0,1,5362.12,1876.13,41,0
48,1,2,0,2,4,0,36,3,3,3,27126.02,1000.75,25,1
45,0,4,1,0,0,0,36,6,2,3,3342.44,1139.19,30,0
54,0,4,1,2,4,0,40,6,2,2,2532.68,799.6,21,1
54,0,3,4,2,4,0,46,2,3,2,1900.47,1881.8,45,0
44,1,3,1,0,2,0,37,2,2,3,14546.36,1273.1,27,0
50,0,4,4,0,4,0,36,2,2,3,2521.96,1328.55,33,0
55,1,2,4,2,2,0,36,3,3,4,16427.37,1579.45,36,0
48,1,2,1,3,1,0,36,5,2,1,13068.7,937.65,28,0
45,1,2,3,0,2,0,33,6,0,3,23218.54,1749.28,37,0
60,1,0,0,2,1,0,36,5,3,1,3281.26,1424.52,29,0
55,1,2,0,2,1,0,47,5,2,3,3096.03,2011.99,41,0
62,0,0,0,2,1,0,52,5,3,2,2052.34,1208.58,31,0
38,0,1,0,3,0,0,30,2,0,3,1438.91,1259.96,24,0
46,1,3,0,0,1,0,39,2,2,3,9432.64,1319.74,26,0
50,1,0,0,0,4,1,45,5,3,2,14938.19,949.7,27,0
45,1,2,2,2,2,0,36,5,2,3,2221.64,1338.09,30,0
47,1,3,4,1,2,0,37,6,0,3,5731.58,1554.39,26,0
48,1,4,3,2,2,2,33,2,3,2,34516.94,1350.53,32,0
35,1,3,2,2,2,0,22,5,2,2,6985.17,1694.63,44,0
51,1,2,1,2,4,0,42,3,0,3,24221.87,1678.66,40,0
36,0,3,0,2,4,0,24,4,1,1,15439.14,2069.58,43,0
47,1,4,1,0,3,0,36,6,2,3,21637.35,1222.79,23,0
52,1,2,1,0,4,0,37,2,2,3,14543.72,1536.56,37,0
43,0,4,2,2,0,0,36,2,1,1,9684.93,1400.29,31,0
63,1,2,0,2,1,0,36,2,2,2,5007.61,1050.52,28,0
61,1,0,1,2,2,0,54,3,0,2,1616.44,1389.6,33,0
53,1,2,2,0,2,0,40,5,2,2,19116.74,1184.3,29,0
53,0,3,1,2,0,0,47,5,2,6,2759.61,2093.03,42,0
57,1,3,1,2,4,0,38,2,3,3,8249.68,678.76,11,1
38,0,2,1,0,4,0,31,2,2,3,14041.09,1467.33,29,0
53,1,3,0,2,2,0,43,5,2,3,5264.55,1219.05,27,0
63,0,0,2,2,0,0,54,4,1,2,2420.01,1730.4,36,0
49,0,4,0,2,0,0,43,4,0,2,2826.24,1025.22,28,0
45,1,2,0,2,3,0,34,5,2,5,12518.07,1165.97,33,0
67,1,0,1,2,1,0,56,4,1,2,5876.9,2133.4,55,0
48,1,3,1,0,3,1,37,3,3,2,34516.45,1122.25,13,0
51,0,2,2,1,0,0,38,4,2,1,9648.6,1083.67,22,0
52,1,2,0,0,3,1,40,3,3,3,34516.34,1234.15,23,0
55,0,2,2,2,4,0,35,3,0,3,3025.33,1277.33,23,0
34,1,3,0,2,2,0,26,4,3,3,3265.81,1843.56,35,0
56,1,1,2,2,4,0,36,3,2,2,6041.1,1747.65,49,0
44,0,2,4,2,0,0,36,3,2,3,2293.74,1166.3,22,0
47,1,3,4,3,3,0,36,6,2,2,13399.15,1326.68,31,0
46,0,3,2,2,0,0,38,4,3,3,4317.78,1619.4,36,0
43,0,3,1,0,1,0,29,5,0,2,3378.72,1285.61,16,0
50,0,1,1,0,0,0,36,4,3,1,5012.65,1142.42,28,0
38,0,4,2,0,0,0,30,4,0,1,2569.1,1190.87,46,0
53,0,1,1,0,0,0,45,3,2,1,3471.41,1052.59,24,0
43,1,5,1,1,4,1,31,5,3,3,34516.45,1628.24,38,0
53,1,1,0,2,4,0,36,6,2,3,3312.27,1740.69,32,0
56,0,1,1,2,0,0,38,4,3,3,2578.8,1378.69,29,0
54,1,2,2,2,1,0,44,4,2,3,2902.27,996.12,26,1
57,0,3,0,2,0,0,39,3,1,2,2742.66,1389.74,32,0
62,1,1,0,2,0,0,53,5,3,3,2077.33,1365.1,38,0
46,0,4,1,0,0,0,40,5,2,1,6265.85,1715.26,43,0
49,1,2,2,2,2,0,44,6,0,3,7819.45,1582.69,25,0
52,1,3,1,0,3,0,42,6,3,3,2731.13,1220.43,22,0
58,1,1,2,2,1,0,36,2,3,4,1438.23,715.18,13,1
54,1,0,0,2,3,0,36,3,2,1,16286.97,2552.41,49,0
49,1,1,1,2,4,0,39,3,3,2,34516.58,1106.62,31,0
58,0,3,0,2,0,0,47,6,0,1,2609.01,1731.12,34,0
52,1,2,0,0,2,0,45,5,2,3,7567.16,1435.34,32,0
41,1,5,0,2,2,0,33,5,3,3,22770.58,1882.5,38,0
62,0,0,2,2,0,0,50,5,2,1,3791.82,2058.17,34,0
54,1,2,1,2,0,0,39,4,2,4,2702.09,1658.87,32,0
40,0,3,0,1,0,0,35,3,3,1,2555.83,1334.12,32,0
43,1,3,1,2,3,0,26,5,2,3,2355.74,1441.86,29,0
53,0,2,1,0,1,0,42,6,0,2,5332.95,1371.53,39,0
55,1,1,2,0,1,0,49,6,2,3,1443.22,1991.84,38,0
46,1,4,1,0,2,0,39,6,3,2,10741.31,1278.64,22,0
41,1,1,2,2,2,0,25,3,0,2,7984.59,1734.17,39,0
49,1,3,2,0,2,0,32,3,2,2,18584.78,1330.66,34,0
61,0,0,1,2,4,0,56,4,3,1,5585.78,1787.12,31,0
46,1,2,2,2,3,0,38,6,2,3,34516.15,1672.98,32,0
50,0,1,2,2,0,0,43,6,4,3,1438.31,1439.45,41,0
40,1,2,1,0,3,0,24,5,0,1,2478.3,1558.6,31,0
51,1,4,0,0,4,0,46,6,3,3,34516.25,1795.79,47,0
50,0,2,1,2,1,0,44,6,3,2,2339.82,893.56,22,0
47,0,2,1,2,0,0,36,6,2,3,2726.65,1099.14,27,0
43,1,4,2,2,4,0,39,3,3,3,14881.06,1408.68,23,0
36,0,4,1,2,1,0,36,6,3,3,1628.54,1893.82,15,0
47,0,2,1,2,0,0,34,5,2,2,3156.16,1151.85,31,0
46,0,2,1,0,0,0,41,5,0,3,4745.56,1519.2,31,0
46,1,2,0,2,4,0,36,5,2,3,19727.27,1245.27,25,0
52,1,0,2,2,2,0,36,3,2,3,22720.12,1102.31,27,0
43,1,4,2,2,1,0,36,5,0,3,8129.12,1402.2,33,0
40,0,4,1,0,0,0,27,6,3,2,3751.64,1060.56,30,0
54,0,4,0,2,0,0,36,3,3,5,1594.95,1459.9,35,0
55,0,1,0,0,0,0,43,4,0,2,2569.81,1456.45,39,0
49,0,4,4,0,4,0,44,6,2,3,18206.92,1439.96,48,0
45,1,4,0,2,1,0,34,6,3,3,3104.08,1353.35,24,0
49,1,3,1,2,1,0,41,5,2,3,2406.44,1173.67,32,0
63,1,1,2,2,3,0,36,5,3,2,24572.0,1746.91,28,0
40,0,3,0,0,0,2,36,3,3,2,15534.85,1279.8,28,0
41,0,2,1,2,0,1,33,4,0,2,12301.26,1307.95,29,0
37,1,4,1,2,3,0,26,6,3,2,2846.62,1473.58,37,0
58,1,2,2,3,4,0,49,6,3,2,9788.53,1805.18,37,0
